Method,Dataset,EdgesModified,GapAfter,NMISpectral,NMIMod
Max,Cora,10,0.012267271797556288,0.3963020487761245,0.4813151574506932
Max,Cora,20,0.017382754977374182,0.4263213092476358,0.4777812092273461
Max,Cora,50,0.026643798672999788,0.4811850888877529,0.46102027172674537
Max,Cora,100,0.035197409396732396,0.3920483804516055,0.45154183458896446
Max,Cora,500,0.08557796310670368,0.1628031482726425,0.3700324080592147
Min,Cora,10,0.004924835344132543,0.3481178550317994,0.485039301338041
Min,Cora,20,0.004783714141805423,0.46803808338837166,0.49094966739822393
Min,Cora,50,0.00491399101066732,0.43557644756966807,0.4936106575502525
Min,Cora,100,0.0049169840936470754,0.4900123693563815,0.49077304414934675
Min,Cora,100,0.004916984093647073,0.4823600581592623,0.49077304414934675
Min,Cora,500,0.003754731504536513,0.4541014102601984,0.47638799710587204
Max,Citeseer,10,0.004329537472412594,0.3306633801774559,0.337685486217151
Max,Citeseer,20,0.005401888074725715,0.33442885946693296,0.3227845555330702
Max,Citeseer,50,0.009254835650998485,0.3207532424354185,0.3052079956477226
Max,Citeseer,100,0.015289662128775404,0.3061623867726473,0.28165754234889284
Max,Citeseer,500,0.0623251452026018,0.03863612618697891,0.19574605106061393
Min,Citeseer,500,0.001120011243181723,0.3382831079030442,0.3364158168108857
Min,Citeseer,100,0.0014133264151875537,0.3472213056138818,0.3403851751136386
Min,Citeseer,50,0.0023086611389781003,0.3715169210236283,0.33950926426535827
Min,Citeseer,20,0.001441807066488039,0.3626756933856335,0.34108192602371973
Min,Citeseer,10,0.0014815962289662882,0.36318283914886285,0.3464452272731964
